Designator,Mid X,Mid Y,Rotation,Layer
BEEP1,243.43812,-52.378121,90.0,top
C1,140.882,-75.7232,0.0,top
C10,130.81,-111.28375,270.0,top
C11,100.965,-128.905,90.0,top
C12,88.026875,-96.36125,0.0,top
C13,129.54,-135.89,90.0,top
C14,86.280625,-70.8025,0.0,top
C15,181.345356,-79.613125,90.0,top
C16,79.375,-92.925,270.0,top
C17,208.650356,-85.328125,0.0,top
C18,237.860356,-78.89875,90.0,top
C19,171.820356,-112.0775,270.0,top
C2,103.505,-98.425,0.0,top
C20,225.954106,-89.69375,0.0,top
C21,137.414,-63.1825,0.0,top
C22,227.224106,-123.110625,270.0,top
C23,250.929656,-53.209631,90.0,top
C24,237.780981,-83.423125,90.0,top
C25,86.439375,-125.73,0.0,top
C26,170.232856,-125.73,270.0,top
C27,76.2,-100.33,270.0,top
C28,197.537856,-127.79375,90.0,top
C29,79.454375,-116.99875,0.0,top
C3,104.14,-128.905,90.0,top
C30,79.454375,-120.015,180.0,top
C31,223.414106,-115.57,0.0,top
C32,151.817856,-65.24625,90.0,top
C33,106.045,-70.7,90.0,top
C34,202.300356,-114.77625,180.0,top
C35,239.924106,-61.595,180.0,top
C36,239.447856,-120.9675,0.0,top
C37,108.161606,-51.27625,0.0,top
C38,113.717856,-51.27625,0.0,top
C39,113.559106,-60.96,0.0,top
C4,128.596531,-122.062078,0.0,top
C40,113.559106,-57.30875,0.0,top
C41,103.505,-96.330335,0.0,top
C42,140.882,-78.74,0.0,top
C43,133.588125,-111.28375,270.0,top
C44,128.5875,-124.1425,0.0,top
C45,114.935,-114.935,270.0,bottom
C46,121.285,-114.935,270.0,bottom
C47,111.76,-114.935,270.0,bottom
C48,118.11,-114.935,270.0,bottom
C49,82.55,-56.1975,0.0,top
C5,164.438481,-132.87375,270.0,top
C50,82.55,-59.69,0.0,top
C51,90.805,-56.515,0.0,top
C52,82.55,-63.5,0.0,top
C53,120.65,-101.6,90.0,bottom
C54,117.6332,-101.6,90.0,bottom
C55,109.855,-104.14,0.0,bottom
C56,109.855,-109.22,0.0,bottom
C57,109.855,-111.76,0.0,bottom
C58,123.825,-110.9668,180.0,bottom
C59,123.825,-107.95,180.0,bottom
C6,243.869751,-58.60299,270.0,top
C60,123.825,-104.9332,180.0,bottom
C61,114.935,-101.6,90.0,bottom
C62,120.435,-106.68,0.0,bottom
C63,120.435,-109.22,0.0,bottom
C64,117.475,-105.41,270.0,bottom
C65,144.46,-133.35,180.0,top
C66,138.745,-133.35,0.0,top
C67,113.45,-106.68,180.0,bottom
C68,113.45,-109.22,180.0,bottom
C69,116.84,-111.125,90.0,bottom
C7,161.501606,-127.0,0.0,top
C70,140.782519,-123.257232,180.0,top
C71,150.266553,-112.234653,270.0,top
C8,86.36,-129.96,270.0,top
C9,137.414,-59.53125,0.0,top
CN3,257.942231,-102.949375,90.0,top
CN4,216.111606,-44.7675,180.0,top
D1,147.452231,-61.43625,0.0,top
D10,173.99,-66.675,0.0,top
D11,173.99,-69.215,0.0,top
D2,173.99,-56.515,0.0,top
D3,173.99,-59.055,0.0,top
D4,173.99,-61.595,0.0,top
D5,147.452231,-58.89625,0.0,top
D6,147.452231,-56.35625,0.0,top
D8,133.244106,-53.81625,90.0,top
D9,173.99,-64.135,0.0,top
H1,108.796606,-134.3025,0.0,top
H2,108.796606,-43.815,0.0,top
H3,258.974106,-43.815,0.0,top
H4,258.974106,-134.3025,0.0,top
H5,196.188481,-56.753125,0.0,top
H6,236.193481,-56.8325,0.0,top
H7,194.521606,-134.3025,0.0,top
IC1,91.44,-85.09,90.0,top
IC10,235.637856,-102.87,270.0,top
IC11,211.031606,-102.235,270.0,top
IC13,91.44,-113.665,90.0,top
IC16,147.955,-88.9,90.0,top
IC2,173.566606,-79.613125,0.0,top
IC3,241.749731,-70.723125,0.0,top
IC4,244.369106,-80.80375,0.0,top
IC5,215.476606,-124.1425,180.0,top
IC6,144.145,-117.475,90.0,top
IC7,148.0566,-104.775,90.0,top
IC8,129.751606,-63.5,90.0,top
IC9,184.361606,-102.235,90.0,top
J1,253.367856,-60.409375,90.0,top
JP1,202.300356,-124.93625,90.0,top
JP10,241.987856,-64.77,180.0,top
JP2,80.089375,-132.715,180.0,top
JP3,245.480356,-89.2175,270.0,top
JP4,175.392231,-125.88875,0.0,top
JP5,181.742231,-70.8025,0.0,top
JP6,237.384106,-89.05875,180.0,top
JP7,152.4,-76.2,180.0,top
JP8,86.36,-100.33,90.0,top
JP9,160.933591,-72.903569,180.0,top
JS1,132.08,-130.81,0.0,top
LED1,149.436606,-135.73125,0.0,top
P1,225.636606,-136.2075,0.0,top
P2,216.190981,-56.753125,180.0,top
P3,164.517856,-108.2675,270.0,top
P6,186.107856,-127.3175,180.0,top
P7,225.636606,-131.92125,0.0,top
Q1,254.27233,-53.139992,90.0,top
Q2,79.930625,-106.045,180.0,top
Q3,107.526606,-60.6425,90.0,top
R1,131.100981,-53.34,90.0,top
R10,151.765,-71.755,270.0,top
R11,147.32,-71.755,270.0,top
R13,164.465,-57.785,90.0,top
R14,160.655,-57.785,90.0,top
